x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
20,28,Pass,106,34,2,0,0,0,0
20,28,Pass,106,36,3,0,0,0,0
20,28,Pass,106,38,3,0,0,0,0
20,28,Pass,104,30,2,0,0,0,0
20,28,Pass,104,32,2,0.001,0,0,0
20,28,Pass,104,34,2,0.001,0,0,0
20,28,Pass,104,36,3,0.001,0,0,0
20,28,Pass,104,38,3,0.001,0,0,0
20,28,Pass,104,40,3,0,0,0,0
20,28,Pass,104,42,3,0,0,0,0
20,28,Pass,102,26,2,0,0,0,0
20,28,Pass,102,28,2,0.001,0,0,0
20,28,Pass,102,30,2,0.002,0,0,0
20,28,Pass,102,32,2,0.003,0,0,0
20,28,Pass,102,34,2,0.004,0,0,0
20,28,Pass,102,36,3,0.005,0,0,0
20,28,Pass,102,38,3,0.004,0,0,0
20,28,Pass,102,40,3,0.002,0,0,0
20,28,Pass,102,42,3,0.001,0,0,0
20,28,Pass,102,44,2,0.001,0,0,0
20,28,Pass,100,26,2,0.001,0,0,0
20,28,Pass,100,28,2,0.003,0,0,0
20,28,Pass,100,30,2,0.006,0,0,0
20,28,Pass,100,32,2,0.011,0,0,0
20,28,Pass,100,34,2,0.017,0,0,0
20,28,Pass,100,36,3,0.019,0,0,0
20,28,Pass,100,38,3,0.015,0,0,0
20,28,Pass,100,40,3,0.008,0,0,0
20,28,Pass,100,42,3,0.003,0,0,0
20,28,Pass,100,44,3,0.001,0,0,0
20,28,Pass,100,46,3,0.001,0,0,0
20,28,Pass,98,24,3,0,0,0,0
20,28,Pass,98,26,3,0.002,0,0,0
20,28,Pass,98,28,3,0.006,0,0,0
20,28,Pass,98,30,3,0.015,0,0,0
20,28,Pass,98,32,4,0.03,0,0,0
20,28,Pass,98,34,4,0.047,0,0,0
20,28,Pass,98,36,3,0.053,0,0,0
20,28,Pass,98,38,4,0.043,0,0,0
20,28,Pass,98,40,5,0.024,0,0,0
20,28,Pass,98,42,4,0.009,0,0,0
20,28,Pass,98,44,4,0.003,0,0,0
20,28,Pass,98,46,3,0.001,0,0,0
20,28,Pass,98,48,3,0,0,0,0
20,28,Pass,96,24,3,0.001,0,0,0
20,28,Pass,96,26,4,0.003,0,0,0
20,28,Pass,96,28,5,0.009,0,0,0
20,28,Pass,96,30,5,0.026,0,0,0
20,28,Pass,96,32,5,0.058,0,0,0
20,28,Pass,96,34,5,0.093,0,0,0
20,28,Pass,96,36,4,0.106,0,0,0
20,28,Pass,96,38,6,0.086,0,0,0
20,28,Pass,96,40,5,0.048,0,0,0
