x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
60,52,Pass,120,52,1,0,0,0,0
60,52,Pass,120,54,1,0,0,0,0
60,52,Pass,120,56,1,0,0,0,0
60,52,Pass,120,58,1,0,0,0,0
60,52,Pass,120,60,1,0,0,0,0
60,52,Pass,120,62,1,0.001,0,0,0
60,52,Pass,120,64,1,0.001,0,0,0
60,52,Pass,120,66,1,0,0,0,0
60,52,Pass,120,68,1,0,0,0,0
60,52,Pass,120,70,1,0,0,0,0
60,52,Pass,120,72,1,0,0,0,0
60,52,Pass,120,74,1,0,0,0,0
60,52,Pass,120,76,1,0,0,0,0
60,52,Pass,118,52,1,0,0,0,0
60,52,Pass,118,54,1,0,0,0,0
60,52,Pass,118,56,1,0,0,0,0
60,52,Pass,118,58,1,0,0,0,0
60,52,Pass,118,60,1,0,0,0,0
60,52,Pass,118,62,1,0,0,0,0
60,52,Pass,118,64,1,0.001,0,0,0
60,52,Pass,118,66,1,0,0,0,0
60,52,Pass,118,68,1,0,0,0,0
60,52,Pass,118,70,1,0,0,0,0
60,52,Pass,118,72,1,0,0,0,0
60,52,Pass,118,74,1,0,0,0,0
60,52,Pass,118,76,1,0,0,0,0
60,52,Pass,116,4,1,0,0,0,0
60,52,Pass,116,6,1,0,0,0,0
60,52,Pass,116,8,1,0,0,0,0
60,52,Pass,116,10,1,0,0,0,0
60,52,Pass,116,52,1,0,0,0,0
60,52,Pass,116,54,1,0,0,0,0
60,52,Pass,116,56,1,0,0,0,0
60,52,Pass,116,58,1,0,0,0,0
60,52,Pass,116,60,1,0,0,0,0
60,52,Pass,116,62,1,0,0,0,0
60,52,Pass,116,64,1,0,0,0,0
60,52,Pass,116,66,1,0,0,0,0
60,52,Pass,116,68,1,0,0,0,0
60,52,Pass,116,70,1,0,0,0,0
60,52,Pass,116,72,1,0,0,0,0
60,52,Pass,116,74,1,0,0,0,0
60,52,Pass,116,76,1,0,0,0,0
60,52,Pass,114,0,1,0,0,0,0
60,52,Pass,114,2,1,0.001,0,0,0
60,52,Pass,114,4,1,0.002,0,0,0
60,52,Pass,114,6,1,0.003,0,0,0
60,52,Pass,114,8,1,0.003,0,0,0
60,52,Pass,114,10,1,0.002,0,0,0
60,52,Pass,114,12,1,0.001,0,0,0
60,52,Pass,114,14,1,0,0,0,0
60,52,Pass,114,52,1,0,0,0,0
60,52,Pass,114,54,1,0,0,0,0
60,52,Pass,114,56,1,0,0,0,0
60,52,Pass,114,58,1,0,0,0,0
60,52,Pass,114,60,1,0,0,0,0
60,52,Pass,114,62,1,0,0,0,0
60,52,Pass,114,64,1,0,0,0,0
60,52,Pass,114,66,1,0,0,0,0
60,52,Pass,114,68,1,0,0,0,0
60,52,Pass,114,70,1,0,0,0,0
60,52,Pass,114,72,1,0,0,0,0
60,52,Pass,114,74,1,0,0,0,0
60,52,Pass,112,0,1,0.002,0,0,0
60,52,Pass,112,2,1,0.007,0,0,0
60,52,Pass,112,4,1,0.014,0,0,0
60,52,Pass,112,6,1,0.019,0,0,0
60,52,Pass,112,8,1,0.018,0,0,0
60,52,Pass,112,10,1,0.012,0,0,0
60,52,Pass,112,12,1,0.006,0,0,0
60,52,Pass,112,14,1,0.002,0,0,0
60,52,Pass,112,16,1,0,0,0,0
60,52,Pass,112,54,1,0,0,0,0
60,52,Pass,112,56,1,0,0,0,0
60,52,Pass,112,58,1,0,0,0,0
60,52,Pass,112,60,1,0,0,0,0
60,52,Pass,112,62,1,0,0,0,0
60,52,Pass,112,64,1,0,0,0,0
60,52,Pass,112,66,1,0,0,0,0
60,52,Pass,112,68,1,0,0,0,0
60,52,Pass,112,70,1,0,0,0,0
60,52,Pass,112,72,1,0,0,0,0
60,52,Pass,112,74,1,0,0,0,0
60,52,Pass,110,0,1,0.01,0,0,0
60,52,Pass,110,2,1,0.027,0,0,0
60,52,Pass,110,4,1,0.054,0,0,0
60,52,Pass,110,6,1,0.075,0,0,0
60,52,Pass,110,8,1,0.072,0,0,0
60,52,Pass,110,10,1,0.049,0,0,0
60,52,Pass,110,12,1,0.023,0,0,0
60,52,Pass,110,14,1,0.007,0,0,0
60,52,Pass,110,16,1,0.002,0,0,0
60,52,Pass,110,18,2,0,0,0,0
60,52,Pass,110,20,1,0,0,0,0
60,52,Pass,110,22,1,0,0,0,0
60,52,Pass,110,24,2,0,0,0,0
60,52,Pass,110,26,1,0,0,0,0
60,52,Pass,110,28,1,0,0,0,0
60,52,Pass,110,30,1,0,0,0,0
60,52,Pass,110,56,1,0,0,0,0
60,52,Pass,110,58,1,0,0,0,0
60,52,Pass,110,60,1,0,0,0,0
60,52,Pass,110,62,1,0,0,0,0
60,52,Pass,110,64,1,0,0,0,0
60,52,Pass,110,66,1,0,0,0,0
60,52,Pass,110,68,1,0,0,0,0
60,52,Pass,110,70,1,0,0,0,0
60,52,Pass,110,72,1,0,0,0,0
60,52,Pass,108,0,1,0.027,0,0,0
60,52,Pass,108,2,1,0.076,0,0,0
60,52,Pass,108,4,1,0.151,0,0,0
60,52,Pass,108,6,1,0.209,0,0,0
60,52,Pass,108,8,1,0.201,0,0,0
60,52,Pass,108,10,1,0.135,0,0,0
60,52,Pass,108,12,1,0.063,0,0,0
60,52,Pass,108,14,2,0.021,0,0,0
60,52,Pass,108,16,2,0.005,0,0,0
60,52,Pass,108,18,2,0.001,0,0,0
60,52,Pass,108,20,2,0,0,0,0
60,52,Pass,108,22,2,0,0,0,0
60,52,Pass,108,24,2,0,0,0,0
60,52,Pass,108,26,2,0,0,0,0
60,52,Pass,108,28,2,0,0,0,0
60,52,Pass,108,30,1,0,0,0,0
60,52,Pass,108,32,1,0,0,0,0
60,52,Pass,108,34,1,0,0,0,0
60,52,Pass,108,58,1,0,0,0,0
60,52,Pass,108,60,1,0,0,0,0
60,52,Pass,108,62,1,0,0,0,0
60,52,Pass,108,64,1,0,0,0,0
60,52,Pass,108,66,1,0,0,0,0
60,52,Pass,108,68,1,0,0,0,0
