x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
32,18,Run,100,14,1,0,0,0,0
32,18,Run,100,16,1,0,0,0,0
32,18,Run,100,18,1,0,0,0,0
32,18,Run,100,20,1,0,0,0,0
32,18,Run,100,22,1,0,0,0,0
32,18,Run,100,24,1,0,0,0,0
32,18,Run,98,10,1,0,0,0,0
32,18,Run,98,12,1,0,0,0,0
32,18,Run,98,14,1,0.001,0,0,0
32,18,Run,98,16,1,0.002,0,0,0
32,18,Run,98,18,1,0.002,0,0,0
32,18,Run,98,20,1,0.002,0,0,0
32,18,Run,98,22,1,0.002,0,0,0
32,18,Run,98,24,1,0.001,0,0,0
32,18,Run,98,26,1,0,0,0,0
32,18,Run,98,28,1,0,0,0,0
32,18,Run,96,10,1,0,0,0,0
32,18,Run,96,12,1,0.001,0,0,0
32,18,Run,96,14,1,0.004,0,0,0
32,18,Run,96,16,1,0.007,0,0,0
32,18,Run,96,18,1,0.011,0,0,0
32,18,Run,96,20,1,0.011,0,0,0
32,18,Run,96,22,1,0.008,0,0,0
32,18,Run,96,24,1,0.004,0,0,0
32,18,Run,96,26,1,0.001,0,0,0
32,18,Run,96,28,1,0,0,0,0
32,18,Run,96,30,1,0,0,0,0
32,18,Pass,94,4,1,0,0,0,0
32,18,Pass,94,6,1,0,0,0,0
32,18,Pass,94,8,1,0,0,0,0
32,18,Run,94,8,1,0,0,0,0
32,18,Pass,94,10,1,0,0,0,0
32,18,Run,94,10,1,0.001,0,0,0
32,18,Pass,94,12,1,0,0,0,0
32,18,Run,94,12,1,0.004,0,0,0
32,18,Run,94,14,1,0.011,0,0,0
32,18,Run,94,16,1,0.024,0,0,0
32,18,Run,94,18,1,0.035,0,0,0
32,18,Run,94,20,1,0.035,0,0,0
32,18,Run,94,22,1,0.025,0,0,0
32,18,Run,94,24,1,0.012,0,0,0
32,18,Run,94,26,1,0.004,0,0,0
32,18,Run,94,28,1,0.001,0,0,0
32,18,Run,94,30,1,0,0,0,0
32,18,Pass,92,0,1,0,0,0,0
32,18,Pass,92,2,1,0,0,0,0
32,18,Pass,92,4,1,0,0,0,0
32,18,Pass,92,6,1,0,0,0,0
32,18,Pass,92,8,1,0,0,0,0
32,18,Run,92,8,1,0,0,0,0
32,18,Pass,92,10,1,0,0,0,0
32,18,Run,92,10,1,0.002,0,0,0
32,18,Pass,92,12,1,0,0,0,0
32,18,Run,92,12,1,0.008,0,0,0
32,18,Pass,92,14,1,0,0,0,0
32,18,Run,92,14,1,0.025,0,0,0
32,18,Pass,92,16,1,0,0,0,0
32,18,Run,92,16,1,0.053,0,0,0
32,18,Run,92,18,1,0.077,0,0,0
32,18,Run,92,20,1,0.079,0,0,0
32,18,Run,92,22,1,0.056,0,0,0
32,18,Run,92,24,1,0.028,0,0,0
32,18,Run,92,26,1,0.01,0,0,0
32,18,Run,92,28,1,0.002,0,0,0
32,18,Run,92,30,1,0,0,0,0
32,18,Pass,90,0,1,0,0,0,0
32,18,Pass,90,2,1,0,0,0,0
32,18,Pass,90,4,1,0,0,0,0
32,18,Pass,90,6,1,0,0,0,0
32,18,Run,90,6,1,0,0,0,0
32,18,Pass,90,8,1,0,0,0,0
32,18,Run,90,8,2,0.001,0,0,0
32,18,Pass,90,10,1,0,0,0,0
32,18,Run,90,10,2,0.003,0,0,0
32,18,Pass,90,12,1,0,0,0,0
32,18,Run,90,12,2,0.013,0,0,0
32,18,Pass,90,14,1,0,0,0,0
32,18,Run,90,14,1,0.039,0,0,0
32,18,Pass,90,16,1,0,0,0,0
32,18,Run,90,16,1,0.082,0,0,0
32,18,Pass,90,18,1,0,0,0,0
32,18,Run,90,18,1,0.12,0,0,0
32,18,Run,90,20,1,0.122,0,0,0
32,18,Run,90,22,1,0.087,0,0,0
32,18,Run,90,24,1,0.043,0,0,0
32,18,Run,90,26,1,0.015,0,0,0
32,18,Run,90,28,1,0.004,0,0,0
32,18,Run,90,30,1,0.001,0,0,0
32,18,Run,90,32,1,0,0,0,0
32,18,Pass,88,0,1,0,0,0,0
32,18,Pass,88,2,1,0,0,0,0
32,18,Pass,88,4,1,0,0,0,0
32,18,Run,88,4,1,0,0,0,0
32,18,Pass,88,6,1,0,0,0,0
32,18,Run,88,6,2,0,0,0,0
32,18,Pass,88,8,1,0,0,0,0
32,18,Run,88,8,2,0.001,0,0,0
32,18,Pass,88,10,1,0,0,0,0
32,18,Run,88,10,2,0.004,0,0,0
32,18,Pass,88,12,1,0,0,0,0
32,18,Run,88,12,2,0.015,0,0,0
32,18,Pass,88,14,1,0,0,0,0
32,18,Run,88,14,2,0.042,0,0,0
32,18,Pass,88,16,1,0,0,0,0
32,18,Run,88,16,2,0.088,0,0,0
32,18,Pass,88,18,1,0,0,0,0
32,18,Run,88,18,1,0.129,0,0,0
32,18,Run,88,20,1,0.132,0,0,0
32,18,Run,88,22,1,0.094,0,0,0
32,18,Run,88,24,1,0.047,0,0,0
32,18,Run,88,26,1,0.016,0,0,0
32,18,Run,88,28,1,0.004,0,0,0
32,18,Run,88,30,1,0.001,0,0,0
32,18,Run,88,32,1,0,0,0,0
32,18,Pass,86,0,1,0,0,0,0
32,18,Run,86,0,1,0,0,0,0
32,18,Pass,86,2,1,0,0,0,0
32,18,Run,86,2,1,0,0,0,0
32,18,Pass,86,4,1,0.001,0,0,0
32,18,Run,86,4,1,0.001,0,0,0
32,18,Pass,86,6,1,0.001,0,0,0
32,18,Run,86,6,1,0.002,0,0,0
32,18,Pass,86,8,1,0.001,0,0,0
32,18,Run,86,8,2,0.004,0,0,0
32,18,Pass,86,10,1,0.001,0,0,0
32,18,Run,86,10,2,0.007,0,0,0
32,18,Pass,86,12,1,0.001,0,0,0
32,18,Run,86,12,2,0.014,0,0,0
32,18,Pass,86,14,1,0,0,0,0
32,18,Run,86,14,2,0.034,0,0,0
32,18,Pass,86,16,1,0,0,0,0
32,18,Run,86,16,2,0.067,0,0,0
32,18,Pass,86,18,1,0,0,0,0
32,18,Run,86,18,2,0.098,0,0,0
32,18,Pass,86,20,1,0,0,0,0
32,18,Run,86,20,1,0.1,0,0,0
32,18,Run,86,22,1,0.071,0,0,0
32,18,Run,86,24,1,0.035,0,0,0
32,18,Run,86,26,1,0.012,0,0,0
32,18,Run,86,28,1,0.003,0,0,0
32,18,Run,86,30,1,0,0,0,0
32,18,Run,86,32,1,0,0,0,0
32,18,Pass,84,0,1,0,0,0,0
32,18,Run,84,0,1,0,0,0,0
32,18,Pass,84,2,1,0,0,0,0
32,18,Run,84,2,1,0.001,0,0,0
32,18,Pass,84,4,1,0.001,0,0,0
32,18,Run,84,4,1,0.004,0,0,0
32,18,Pass,84,6,1,0.002,0,0,0
32,18,Run,84,6,1,0.009,0,0,0
32,18,Pass,84,8,1,0.002,0,0,0
32,18,Run,84,8,2,0.016,0,0,0
32,18,Pass,84,10,1,0.002,0,0,0
32,18,Run,84,10,2,0.02,0,0,0
32,18,Pass,84,12,1,0.001,0,0,0
32,18,Run,84,12,3,0.02,0,0,0
32,18,Pass,84,14,1,0.001,0,0,0
32,18,Run,84,14,3,0.025,0,0,0
