x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedProbabiliticGoals,GoalProbability
36,26,Pass,120,0,2,0,0,0,0
36,26,Pass,120,2,2,0,0,0,0
36,26,Pass,120,4,2,0,0,0,0
36,26,Pass,120,6,2,0,0,0,0
36,26,Pass,120,8,3,0,0,0,0
36,26,Pass,120,10,3,0,0,0,0
36,26,Pass,120,12,3,0,0,0,0
36,26,Pass,120,14,3,0,0,0,0
36,26,Pass,120,16,3,0,0,0,0
36,26,Pass,120,18,3,0,0,0,0
36,26,Pass,120,20,2,0,0,0,0
36,26,Pass,120,22,2,0,0,0,0
36,26,Pass,120,24,1,0,0,0,0
36,26,Pass,120,26,1,0,0,0,0
36,26,Pass,120,28,1,0,0,0,0
36,26,Pass,120,30,1,0,0,0,0
36,26,Pass,120,32,1,0,0,0,0
36,26,Pass,120,40,1,0,0,0,0
36,26,Pass,120,42,1,0,0,0,0
36,26,Pass,120,44,1,0,0,0,0
36,26,Pass,120,46,1,0,0,0,0
36,26,Pass,120,48,1,0,0,0,0
36,26,Pass,120,50,1,0,0,0,0
36,26,Pass,120,52,1,0,0,0,0
36,26,Pass,120,54,1,0,0,0,0
36,26,Pass,120,56,1,0,0,0,0
36,26,Pass,120,58,1,0,0,0,0
36,26,Pass,120,60,1,0,0,0,0
36,26,Pass,120,62,2,0,0,0,0
36,26,Pass,120,64,2,0,0,0,0
36,26,Pass,120,66,1,0,0,0,0
36,26,Pass,120,68,1,0,0,0,0
36,26,Pass,120,70,1,0,0,0,0
36,26,Pass,120,72,1,0,0,0,0
36,26,Pass,120,74,1,0,0,0,0
36,26,Pass,120,76,1,0,0,0,0
36,26,Pass,120,78,1,0,0,0,0
36,26,Pass,120,80,1,0,0,0,0
36,26,Pass,118,0,2,0,0,0,0
36,26,Pass,118,2,3,0,0,0,0
36,26,Pass,118,4,3,0,0,0,0
36,26,Pass,118,6,3,0,0,0,0
36,26,Pass,118,8,3,0,0,0,0
36,26,Pass,118,10,3,0,0,0,0
36,26,Pass,118,12,3,0,0,0,0
36,26,Pass,118,14,3,0,0,0,0
36,26,Pass,118,16,3,0,0,0,0
36,26,Pass,118,18,3,0,0,0,0
36,26,Pass,118,20,3,0,0,0,0
36,26,Pass,118,22,2,0,0,0,0
36,26,Pass,118,24,1,0,0,0,0
36,26,Pass,118,26,1,0,0,0,0
36,26,Pass,118,28,1,0,0,0,0
36,26,Pass,118,30,1,0,0,0,0
36,26,Pass,118,32,1,0,0,0,0
36,26,Pass,118,34,1,0,0,0,0
36,26,Pass,118,38,1,0,0,0,0
36,26,Pass,118,40,1,0,0,0,0
36,26,Pass,118,42,1,0,0,0,0
36,26,Pass,118,44,1,0,0,0,0
36,26,Pass,118,46,1,0,0,0,0
36,26,Pass,118,48,1,0,0,0,0
36,26,Pass,118,50,1,0,0,0,0
36,26,Pass,118,52,2,0,0,0,0
36,26,Pass,118,54,2,0,0,0,0
36,26,Pass,118,56,1,0,0,0,0
36,26,Pass,118,58,1,0,0,0,0
36,26,Pass,118,60,2,0,0,0,0
36,26,Pass,118,62,2,0,0,0,0
36,26,Pass,118,64,2,0,0,0,0
36,26,Pass,118,66,2,0,0,0,0
36,26,Pass,118,68,1,0,0,0,0
36,26,Pass,118,70,1,0,0,0,0
36,26,Pass,118,72,1,0,0,0,0
36,26,Pass,118,74,1,0,0,0,0
36,26,Pass,118,76,1,0,0,0,0
36,26,Pass,118,78,1,0,0,0,0
36,26,Pass,118,80,1,0,0,0,0
36,26,Pass,116,0,3,0,0,0,0
36,26,Pass,116,2,3,0,0,0,0
36,26,Pass,116,4,3,0,0,0,0
36,26,Pass,116,6,3,0,0,0,0
36,26,Pass,116,8,4,0,0,0,0
36,26,Pass,116,10,5,0,0,0,0
36,26,Pass,116,12,4,0,0,0,0
36,26,Pass,116,14,4,0,0,0,0
36,26,Pass,116,16,4,0,0,0,0
36,26,Pass,116,18,5,0,0,0,0
36,26,Pass,116,20,5,0,0,0,0
36,26,Pass,116,22,3,0,0,0,0
36,26,Pass,116,24,2,0,0,0,0
36,26,Pass,116,26,3,0,0,0,0
36,26,Pass,116,28,3,0,0,0,0
36,26,Pass,116,30,2,0,0,0,0
36,26,Pass,116,32,2,0,0,0,0
36,26,Pass,116,34,1,0,0,0,0
36,26,Pass,116,36,2,0,0,0,0
36,26,Pass,116,38,2,0,0,0,0
36,26,Pass,116,40,1,0,0,0,0
36,26,Pass,116,42,1,0,0,0,0
36,26,Pass,116,44,1,0,0,0,0
36,26,Pass,116,46,1,0,0,0,0
36,26,Pass,116,48,1,0,0,0,0
36,26,Pass,116,50,2,0,0,0,0
36,26,Pass,116,52,2,0,0,0,0
36,26,Pass,116,54,3,0,0,0,0
36,26,Pass,116,56,3,0,0,0,0
36,26,Pass,116,58,2,0,0,0,0
36,26,Pass,116,60,2,0,0,0,0
36,26,Pass,116,62,2,0,0,0,0
36,26,Pass,116,64,2,0,0,0,0
36,26,Pass,116,66,2,0,0,0,0
36,26,Pass,116,68,2,0,0,0,0
36,26,Pass,116,70,1,0,0,0,0
36,26,Pass,116,72,1,0,0,0,0
36,26,Pass,116,74,1,0,0,0,0
36,26,Pass,116,76,1,0,0,0,0
36,26,Pass,116,78,1,0,0,0,0
36,26,Pass,116,80,1,0,0,0,0
36,26,Pass,114,0,3,0,0,0,0
36,26,Pass,114,2,3,0,0,0,0
36,26,Pass,114,4,3,0,0,0,0
36,26,Pass,114,6,5,0,1,0,0
36,26,Pass,114,8,5,0,1,0,0.001
36,26,Pass,114,10,6,0,1,0,0.001
