x,y,event,endX,endY,Count,WeightedCount,Goals,WeightedExpectedGoals,GoalProbability
40,60,Run,96,26,1,0,0,0,0.001
40,60,Run,96,28,1,0,0,0,0.001
40,60,Run,96,30,1,0,0,0,0.001
40,60,Run,96,32,1,0,0,0,0.001
40,60,Run,96,34,1,0,0,0,0.001
40,60,Run,96,36,1,0,0,0,0.001
40,60,Run,94,22,1,0,0,0,0.001
40,60,Run,94,24,1,0,0,0,0.001
40,60,Run,94,26,1,0,0,0,0.001
40,60,Run,94,28,1,0.001,0,0,0.001
40,60,Run,94,30,1,0.002,0,0,0.001
40,60,Run,94,32,1,0.002,0,0,0.001
40,60,Run,94,34,1,0.001,0,0,0.001
40,60,Run,94,36,1,0.001,0,0,0.001
40,60,Run,94,38,1,0,0,0,0.001
40,60,Run,94,40,1,0,0,0,0.001
40,60,Run,92,22,1,0,0,0,0.001
40,60,Run,92,24,1,0.001,0,0,0.001
40,60,Run,92,26,1,0.002,0,0,0.001
40,60,Run,92,28,1,0.005,0,0,0.001
40,60,Run,92,30,1,0.007,0,0,0.001
40,60,Run,92,32,1,0.007,0,0,0.001
40,60,Run,92,34,1,0.005,0,0,0.001
40,60,Run,92,36,1,0.003,0,0,0.001
40,60,Run,92,38,1,0.001,0,0,0.001
40,60,Run,92,40,1,0,0,0,0.001
40,60,Run,92,42,1,0,0,0,0.001
40,60,Pass,92,60,1,0,0,0,0
40,60,Pass,92,62,1,0,0,0,0
40,60,Pass,92,64,1,0,0,0,0
40,60,Pass,92,66,1,0,0,0,0
40,60,Pass,92,68,1,0,0,0,0
40,60,Pass,92,70,1,0,0,0,0
40,60,Pass,92,72,1,0,0,0,0
40,60,Run,90,20,1,0,0,0,0.001
40,60,Run,90,22,1,0.001,0,0,0.001
40,60,Run,90,24,1,0.002,0,0,0.001
40,60,Run,90,26,1,0.007,0,0,0.001
40,60,Run,90,28,1,0.015,0,0,0.001
40,60,Run,90,30,1,0.023,0,0,0.001
40,60,Run,90,32,1,0.024,0,0,0.001
40,60,Run,90,34,1,0.018,0,0,0.001
40,60,Run,90,36,1,0.009,0,0,0.001
40,60,Run,90,38,1,0.003,0,0,0.001
40,60,Run,90,40,1,0.001,0,0,0.001
40,60,Run,90,42,1,0,0,0,0.001
40,60,Pass,90,58,1,0,0,0,0
40,60,Pass,90,60,1,0,0,0,0
40,60,Pass,90,62,1,0,0,0,0
40,60,Pass,90,64,1,0,0,0,0
40,60,Pass,90,66,1,0,0,0,0
40,60,Pass,90,68,1,0,0,0,0
40,60,Pass,90,70,1,0,0,0,0
40,60,Pass,90,72,1,0,0,0,0
40,60,Pass,90,74,1,0,0,0,0
40,60,Run,88,20,1,0,0,0,0.001
40,60,Run,88,22,1,0.001,0,0,0.001
40,60,Run,88,24,1,0.005,0,0,0.001
40,60,Run,88,26,1,0.016,0,0,0.001
40,60,Run,88,28,1,0.034,0,0,0.001
40,60,Run,88,30,1,0.052,0,0,0.001
40,60,Run,88,32,1,0.055,0,0,0.001
40,60,Run,88,34,1,0.04,0,0,0.001
40,60,Run,88,36,1,0.02,0,0,0.001
40,60,Run,88,38,1,0.007,0,0,0.001
40,60,Run,88,40,1,0.002,0,0,0.001
40,60,Run,88,42,1,0,0,0,0.001
40,60,Run,88,44,1,0,0,0,0.001
40,60,Pass,88,56,1,0,0,0,0
40,60,Pass,88,58,1,0,0,0,0
40,60,Pass,88,60,1,0,0,0,0
40,60,Pass,88,62,1,0,0,0,0
40,60,Pass,88,64,1,0.001,0,0,0
40,60,Pass,88,66,1,0.001,0,0,0
40,60,Pass,88,68,1,0.001,0,0,0
40,60,Pass,88,70,1,0,0,0,0
40,60,Pass,88,72,1,0,0,0,0
40,60,Pass,88,74,1,0,0,0,0
40,60,Pass,88,76,1,0,0,0,0
40,60,Run,86,20,1,0,0,0,0.001
40,60,Run,86,22,1,0.002,0,0,0.001
